player_name,last_season,player_club_id,yellow_cards,red_cards,goals,assists,minutes_played
Adrián Marín,2022,2424,4,1,0,0,2572
Adrián Marín,2023,1075,0,0,0,0,317
Adrián Ramos,2019,16795,0,0,0,0,222
Adryelson,2023,1041,0,0,0,0,5
Adu Ares,2022,621,0,0,0,0,76
Adu Ares,2023,621,2,0,0,0,136
Afimico Pululu,2021,65,0,0,0,0,62
Afonso Figueiredo,2019,3336,1,1,0,1,1603
Afonso Figueiredo,2020,979,1,0,0,0,699
Afonso Freitas,2022,2420,7,0,1,2,1940
Afonso Freitas,2023,2420,2,0,0,0,547
Afonso Moreira,2023,336,0,0,0,0,25
Afonso Moreira,2023,2424,0,0,0,0,38
Afonso Sousa,2020,2457,4,0,2,0,1930
Afonso Sousa,2021,2457,9,0,1,2,2290
Afonso Taira,2020,2457,6,0,0,1,1813
Afonso Taira,2022,3268,9,0,0,1,2116
Agustín Marchesín,2019,720,4,0,0,0,2790
Agustín Marchesín,2020,720,4,0,0,1,2970
Agustín Marchesín,2021,720,1,0,0,0,8
Agustín Marchesín,2022,940,3,0,0,0,1710
Agustín Martegani,2023,380,1,0,1,0,679
Agustín Rogel,2019,415,0,0,0,0,858
Agustín Álvarez,2022,6574,1,0,1,1,350
Ahmad Benali,2020,4083,2,0,0,1,1219
Ahmad Ngouyamsa,2019,2969,1,0,0,0,54
Ahmad Ngouyamsa,2020,2969,1,0,0,0,157
Ahmed Elmohamady,2019,405,1,0,1,1,1026
Ahmed Elmohamady,2020,405,2,0,0,0,833
Ahmed Hassan,2019,1075,3,0,1,0,358
Ahmed Hegazy,2020,984,0,0,0,0,90
Ahmed Isaiah,2019,2424,0,0,0,0,67
Ahmed Isaiah,2020,2424,0,0,0,0,4
Ahmed Kutucu,2019,33,2,0,3,3,661
Ahmed Kutucu,2020,33,1,0,0,0,101
Ahmed Touba,2023,1005,1,0,0,0,275
Aihen Muñoz,2019,681,1,0,0,0,979
Aihen Muñoz,2020,681,6,0,0,1,1210
Aihen Muñoz,2021,681,4,0,0,0,1343
Aihen Muñoz,2022,681,2,0,0,1,1756
Aihen Muñoz,2023,681,2,0,0,1,1110
Aimar Oroz,2019,331,0,0,0,0,10
Aimar Oroz,2022,331,6,0,3,6,2022
Aimar Oroz,2023,331,3,0,1,1,1920
Aimar Sher,2021,3522,0,0,0,0,45
Aimen Moueffek,2020,618,3,0,0,0,733
Aimen Moueffek,2021,618,1,0,0,0,425
Ainsley Maitland-Niles,2019,11,6,0,0,2,1383
Ainsley Maitland-Niles,2020,11,0,0,0,1,486
Ainsley Maitland-Niles,2020,984,2,0,0,0,1233
Ainsley Maitland-Niles,2021,11,0,0,0,0,264
Ainsley Maitland-Niles,2021,12,0,0,0,0,491
Ainsley Maitland-Niles,2022,180,3,0,0,1,1404
Ainsley Maitland-Niles,2023,1041,1,0,0,1,772
Aitor Fernández,2019,3368,2,0,0,0,3240
Aitor Fernández,2020,3368,0,0,0,0,2610
Aitor Fernández,2021,3368,1,1,0,0,1167
Aitor Fernández,2022,331,1,0,0,0,1890
Aitor Fernández,2023,331,1,0,0,0,370
Aitor Paredes,2022,621,3,0,0,0,854
Aitor Paredes,2023,621,4,0,1,0,1952
Aitor Ruibal,2019,1244,4,0,0,0,1215
Aitor Ruibal,2020,150,2,0,2,2,1604
Aitor Ruibal,2021,150,6,0,0,0,858
Aitor Ruibal,2022,150,4,1,0,0,1450
Aitor Ruibal,2023,150,4,0,2,1,771
Aiyegun Tosin,2023,1158,0,0,2,0,720
Ajdin Hrustić,2020,24,2,0,1,0,266
Ajdin Hrustić,2021,24,2,0,2,0,958
Ajdin Hrustić,2022,276,0,0,0,0,226
Akaki Gogia,2019,89,0,0,0,0,121
Akaki Gogia,2020,89,1,0,0,2,134
Akim Zedadka,2021,3524,5,0,0,3,3338
Akim Zedadka,2022,290,5,0,0,0,1600
Akim Zedadka,2022,1082,1,0,1,0,351
Akin Famewo,2019,1123,0,0,0,0,1
Akor Adams,2023,969,2,0,7,0,1664
Al-Musrati,2019,2420,2,0,0,0,303
Al-Musrati,2019,2425,3,0,0,1,862
Al-Musrati,2020,1075,6,0,3,3,1956
Al-Musrati,2021,1075,10,0,1,2,2570
Al-Musrati,2022,1075,8,0,3,2,2318
Al-Musrati,2023,1075,1,0,3,0,804
Alaa Abbas,2020,2424,0,0,1,0,110
Alaa Bellaarouch,2023,667,0,0,0,0,360
Alaixys Romao,2019,1421,11,0,0,0,1785
Alan,2023,979,4,0,3,4,1793
Alan Do Marcolino,2022,273,0,0,0,0,16
Alan Empereur,2019,276,3,0,0,0,854
Alan Empereur,2020,276,1,0,0,0,221
Alan Matturro,2023,252,0,0,0,0,90
Alan Ruiz,2021,8024,4,0,1,1,465
Alan Ruiz,2022,8024,10,0,3,2,2510
Alan Varela,2023,720,6,0,2,2,1375
Alan Virginius,2022,1082,1,0,1,0,246
Alan Virginius,2023,1082,0,0,0,0,71
Alan Virginius,2023,3524,0,0,0,0,168
Alassane Plea,2019,18,4,0,10,10,2140
Alassane Plea,2020,18,2,0,6,1,1807
Alassane Plea,2021,18,4,0,10,8,2053
Alassane Plea,2022,18,5,0,2,9,1779
Alassane Plea,2023,18,1,0,7,3,1380
Alban Lafont,2019,995,3,0,0,0,2430
Alban Lafont,2020,995,2,0,0,0,3420
Alban Lafont,2021,995,3,0,0,0,3420
Alban Lafont,2022,995,2,0,0,0,3330
Alban Lafont,2023,995,1,0,0,0,1507
Albert Gudmundsson,2021,252,2,0,1,0,604
Albert Gudmundsson,2023,252,3,0,9,3,2149
Albert Lottin,2019,40,0,0,0,0,45
Albert Sambi Lokonga,2021,11,5,0,0,0,1132
Albert Sambi Lokonga,2022,11,0,0,0,0,196
Albert Sambi Lokonga,2022,873,2,0,0,0,536
Albert Sambi Lokonga,2023,1031,2,0,0,2,879
Alberth Elis,2020,2503,4,0,8,6,2551
